distance_m,altitude_m
0.0,100
211.8870518545993,152.56270847935014
346.5132729142969,231.40677119837534
595.7846789704047,178.8440627190252
769.9569063290824,73.71864576032495
907.0236805461004,126.2813542396751
1143.2929089907996,494.2203135951261
1403.358827825491,441.65760511577594
2015.73694029675,835.8779187109021
2100.8576986418316,888.4406271902523
2285.389490827066,441.6576051157761
2355.368994447479,231.40677119837562
2752.356658011182,283.96947967772576
2863.920929369429,415.37625087610104
2962.8519900031456,362.8135423967509
3302.2479781476,389.094896636426
3406.9124608981806,310.25083391740077
3622.9957033150304,126.28135423967527
3912.281673929115,113.14067711983773
4000.0000000000005,100.0000000000002
